humanReadable,scannable,aisle,bay,tier,position,pickPathModifier,img
W2 AA 42 D 1,W2AA42D1,AA,42,D,1,49,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AA 43 A 1,W2AA43A1,AA,43,A,1,47,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AA 43 B 1,W2AA43B1,AA,43,B,1,48,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AA 43 C 1,W2AA43C1,AA,43,C,1,49,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AA 43 D 1,W2AA43D1,AA,43,D,1,50,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AA 44 A 1,W2AA44A1,AA,44,A,1,48,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AA 44 B 1,W2AA44B1,AA,44,B,1,49,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AA 44 C 1,W2AA44C1,AA,44,C,1,50,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AA 44 D 1,W2AA44D1,AA,44,D,1,51,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AA 45 A 1,W2AA45A1,AA,45,A,1,49,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AA 45 B 1,W2AA45B1,AA,45,B,1,50,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AA 45 C 1,W2AA45C1,AA,45,C,1,51,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AA 45 D 1,W2AA45D1,AA,45,D,1,52,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AA 46 A 1,W2AA46A1,AA,46,A,1,50,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AA 46 B 1,W2AA46B1,AA,46,B,1,51,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AA 46 C 1,W2AA46C1,AA,46,C,1,52,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AA 46 D 1,W2AA46D1,AA,46,D,1,53,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AA 47 A 1,W2AA47A1,AA,47,A,1,51,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AA 47 B 1,W2AA47B1,AA,47,B,1,52,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AA 47 C 1,W2AA47C1,AA,47,C,1,53,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AA 47 D 1,W2AA47D1,AA,47,D,1,54,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AA 48 A 1,W2AA48A1,AA,48,A,1,52,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AA 48 B 1,W2AA48B1,AA,48,B,1,53,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AA 48 C 1,W2AA48C1,AA,48,C,1,54,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AA 48 D 1,W2AA48D1,AA,48,D,1,55,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AA 49 A 1,W2AA49A1,AA,49,A,1,53,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AA 49 B 1,W2AA49B1,AA,49,B,1,54,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AA 49 C 1,W2AA49C1,AA,49,C,1,55,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AA 49 D 1,W2AA49D1,AA,49,D,1,56,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AA 50 A 1,W2AA50A1,AA,50,A,1,54,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AA 50 B 1,W2AA50B1,AA,50,B,1,55,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AA 50 C 1,W2AA50C1,AA,50,C,1,56,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AA 50 D 1,W2AA50D1,AA,50,D,1,57,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AA 51 A 1,W2AA51A1,AA,51,A,1,55,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AA 51 B 1,W2AA51B1,AA,51,B,1,56,C:\Users\ironman\Desktop\svgtopng\B1.png
